2026-07-08 09:13:12 | INFO     | root                 | Logging configured. Level: INFO, File: logs\app_20260708_091312.log
2026-07-08 09:13:12 | INFO     | NiceGuiRecoApp       | Initializing Real-Time Computer Vision Platform infrastructure...
2026-07-08 09:13:12 | ERROR    | services.mediapipe_service | MediaPipe library is not installed or import failed. Using mock fallbacks.
2026-07-08 09:13:12 | WARNING  | services.insightface_service | InsightFace is not installed. Falling back to Mock Embeddings.
2026-07-08 09:13:12 | INFO     | services.similarity  | SimilarityService initialized with strategy: CosineSimilarityStrategy
2026-07-08 09:13:12 | INFO     | services.face_verification | FaceVerificationService initialized with threshold: 0.75
2026-07-08 09:13:12 | INFO     | services.camera      | Opening camera source: 0
2026-07-08 09:13:15 | INFO     | services.camera      | Camera opened successfully. Resolution configured to 640x480 (requested 640x480)
2026-07-08 09:13:15 | INFO     | NiceGuiRecoApp       | Starting CV frame processing loop task at target delay of 0.033s (Max FPS: 30)
2026-07-08 09:13:20 | INFO     | web.websocket_manager | New WebSocket connection registered. Total clients: 1
2026-07-08 09:13:28 | INFO     | services.camera      | Opening camera source: 0
2026-07-08 09:13:28 | WARNING  | services.camera      | Camera already running.
2026-07-08 09:13:30 | INFO     | services.camera      | Closing camera stream.
2026-07-08 09:13:31 | INFO     | services.camera      | Camera stream closed.
2026-07-08 09:13:37 | INFO     | NiceGuiRecoApp       | Client disconnected gracefully.
2026-07-08 09:13:37 | INFO     | web.websocket_manager | WebSocket connection removed. Total clients: 0
2026-07-08 09:13:38 | INFO     | web.websocket_manager | New WebSocket connection registered. Total clients: 1
2026-07-08 09:13:48 | INFO     | services.camera      | Opening camera source: 0
2026-07-08 09:13:49 | INFO     | services.camera      | Camera opened successfully. Resolution configured to 640x480 (requested 640x480)
2026-07-08 09:14:26 | INFO     | NiceGuiRecoApp       | Client disconnected gracefully.
2026-07-08 09:14:26 | INFO     | web.websocket_manager | WebSocket connection removed. Total clients: 0
2026-07-08 09:14:26 | INFO     | web.websocket_manager | WebSocket connection removed. Total clients: 0
2026-07-08 09:14:26 | INFO     | NiceGuiRecoApp       | Stopping real-time services and releasing resources...
2026-07-08 09:14:26 | INFO     | NiceGuiRecoApp       | CV processing task was cancelled.
2026-07-08 09:14:26 | INFO     | services.camera      | Closing camera stream.
2026-07-08 09:14:27 | INFO     | services.camera      | Camera stream closed.
